Date,FDIC certificate number,Primary ABA routing number,Financial institution name,Address,City,State,Zip Code,Rank by $ Deposits,Deposits $,Accounts #,Average deposit $,Unrealized gain-loss $,Unrealized gain-loss % of tier 1 capital,URL,URLs to accept or solicit deposits,Teller,Plaid
6/30/2023,10057,61107146,BANK OF HANCOCK COUNTY,12855 BROAD STREET ,SPARTA,GA,31087,4093,"$67,613,000",4843,"$13,961","-$7,236,000",-43.03%,https://www.bankofhancock.com/,,Unknown,#N/A
6/30/2023,3850,81220537,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET ,XENIA,IL,62899,4319,"$47,500,000",2616,"$18,157","-$2,297,000",-41.30%,http://www.fcbxeniaflora.com,,Unknown,#N/A
6/30/2023,28868,311972526,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD ,MINEOLA,TX,75773,2152,"$315,322,000",13793,"$22,861","-$11,817,000",-24.94%,http://www.mineolacb.com,,Unknown,#N/A
6/30/2023,14083,101107475,BISON STATE BANK,223 MAIN STREET ,BISON,KS,67520,4394,"$41,512,000",1233,"$33,667","-$37,000",-0.57%,https://www.bisonstatebank.com,,Unknown,#N/A
6/30/2023,10202,91208332,LOWRY STATE BANK,400 FLORENCE AVE. ,LOWRY,MN,56349,4180,"$59,174,000",2649,"$22,338","-$101,000",-1.60%,www.lowrystate.com,,Unknown,Supported
6/30/2023,6959,21304675,BALLSTON SPA NATIONAL BANK,87 FRONT STREET ,BALLSTON SPA,NY,12020,1270,"$624,770,000",20685,"$30,204","-$3,051,000",-4.76%,https://ww.bsnb.com,,Unknown,Supported
6/30/2023,17639,104900116,RVR BANK,1005 EAST 23RD ,FREMONT,NE,68025,1754,"$422,321,000",20214,"$20,893","-$6,300,000",-14.72%,www.rvr.bank,www.rvrbankchecking.com,Unknown,Supported
6/30/2023,9392,81513969,BANK OF GRANDIN,403 5TH STREET ,GRANDIN,MO,63943,2957,"$181,182,000",12792,"$14,164","-$7,716,000",-25.43%,www.bankofgrandin.net,,Unknown,#N/A
6/30/2023,19184,102301199,HILLTOP NATIONAL BANK,300 COUNTRY CLUB ROAD ,CASPER,WY,82609,909,"$934,610,000",38401,"$24,338","-$74,596,000",-59.01%,WWW.HILLTOP.BANK,,Unknown,#N/A
6/30/2023,3384,111900578,"LIBERTY NATIONAL BANK IN PARIS, THE",305 LAMAR AVENUE ,PARIS,TX,75460,1972,"$355,912,000",12384,"$28,740","-$9,661,000",-18.32%,www.lnbparis.com,,Unknown,#N/A
6/30/2023,22430,103105446,WASHITA STATE BANK,701 S HIGHWAY 44 ,BURNS FLAT,OK,73624,4457,"$35,117,000",904,"$38,846","-$440,000",-5.76%,www.washitastatebank.com,,Unknown,Supported
6/30/2023,23597,111909870,LAMAR NATIONAL BANK,200 S. COLEGIATE DRIVE ,PARIS,TX,75460,2105,"$325,989,000",9045,"$36,041","-$17,010,000",-44.90%,www.lamarnationalbank.com,,Unknown,#N/A
6/30/2023,17230,71004446,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",3400 WEST LAWRENCE AVENUE ,CHICAGO,IL,60625,1346,"$579,738,000",7685,"$75,438","-$1,816,000",-1.62%,www.albanybank.com,,Unknown,#N/A
6/30/2023,5408,104901940,GENOA COMMUNITY BANK,502 WILLIARD AVENUE ,GENOA,NE,68640,4214,"$56,375,000",1622,"$34,756","-$1,262,000",-15.24%,www.genoacb.com,,Unknown,#N/A
6/30/2023,5410,104102781,"FIRST NATIONAL BANK OF GORDON, THE",134 NORTH MAIN ,GORDON,NE,69343,2458,"$255,863,000",6557,"$39,021","-$5,027,000",-13.46%,https://www.fnbgordon.com,,Unknown,#N/A
6/30/2023,16103,101918169,FARMBANK,1 SOUTH LINCOLN STREET ,GREEN CITY,MO,63545,4061,"$69,928,000",3063,"$22,830","-$2,409,000",-39.34%,www.farmbank.com,,Unknown,#N/A
6/30/2023,15671,53206738,"BANK OF CLARENDON, THE",106 SOUTH BROOK STREET ,MANNING,SC,29102,2000,"$350,353,000",14994,"$23,366","-$16,071,000",-34.92%,www.bankofclarendon.bank,,Unknown,#N/A
6/30/2023,28865,291970033,MIDCOUNTRY BANK,7825 WASHINGTON AVENUE SOUTH SUITE 120,BLOOMINGTON,MN,55439,946,"$886,434,000",30103,"$29,447","-$21,432,000",-19.99%,www.midcountrybank.com,,Unknown,#N/A
6/30/2023,13157,101102124,KANZA BANK,151 NORTH MAIN ,KINGMAN,KS,67068,2621,"$230,967,000",8824,"$26,175","-$6,430,000",-26.46%,www.kanza.bank,,Unknown,Supported
6/30/2023,16440,61212345,FARMERS AND MERCHANTS BANK,104 NORTH MAIN STREET ,SYLVANIA,GA,30467,3336,"$136,247,000",5424,"$25,119","-$6,553,000",-30.32%,http://www.fmbanksylvania.com,,Unknown,Supported
6/30/2023,24332,122237599,FIRST CREDIT BANK,9255 SUNSET BOULEVARD ,WEST HOLLYWOOD,CA,90069,2025,"$342,548,000",921,"$371,931","$197,000",0.09%,,,Unknown,#N/A
6/30/2023,15496,61202931,FIRST STATE BANK OF BLAKELY,2213 SOUTH MAIN STREET ,BLAKELY,GA,39823,1635,"$466,467,000",18146,"$25,706","-$1,276,000",-1.30%,http://www.fsbanks.com,,Unknown,Supported
6/30/2023,7506,31309945,ACNB BANK,16 LINCOLN SQUARE ,GETTYSBURG,PA,17325,482,"$1,985,767,000",86379,"$22,989","-$72,848,000",-28.06%,http://www.acnb.com,,Unknown,Supported
6/30/2023,19434,121125660,BAC COMMUNITY BANK,517 EAST WEBER AVENUE ,STOCKTON,CA,95202,1114,"$729,475,000",13158,"$55,440","-$24,425,000",-29.77%,www.bankbac.com,,Unknown,#N/A
6/30/2023,15194,101106625,KCB BANK,221 NORTH MAIN STREET ,LAKIN,KS,67860,2511,"$246,311,000",7508,"$32,806","-$10,818,000",-26.75%,www.kcbks.bank,,Unknown,Supported
6/30/2023,15699,61211964,PINELAND BANK,501 W 12TH ST ,ALMA,GA,31510,1886,"$379,946,000",15834,"$23,996","-$908,000",-2.23%,www.pineland.bank,,Unknown,Supported
6/30/2023,9923,53206741,ANDERSON BROTHERS BANK,101 NORTH MAIN STREET ,MULLINS,SC,29574,601,"$1,546,710,000",71100,"$21,754","-$24,618,000",-15.77%,www.abbank.com,,Unknown,Supported
6/30/2023,20015,21203970,BESSEMER TRUST COMPANY,100 WOODBRIDGE CENTER DRIVE ,WOODBRIDGE,NJ,70951191,1192,"$674,989,000",4863,"$138,801","-$2,186,000",-1.87%,http://www.bessemertrust.com,,Unknown,#N/A
6/30/2023,5779,83905326,"PEOPLES BANK, THE",100 NORTH MAIN STREET ,BROWNSTOWN,IN,47220,2440,"$259,071,000",9842,"$26,323","-$18,523,000",-71.71%,http://www.banktpb.com,,Unknown,#N/A
6/30/2023,28870,221972234,WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION,23 WALLKILL AVE. ,WALLKILL,NY,12589,1860,"$388,404,000",15255,"$25,461","-$9,901,000",-26.12%,www.wallkill.com,,Unknown,#N/A
6/30/2023,13962,104110977,BANK OF HARTINGTON,229 NORTH BROADWAY ,HARTINGTON,NE,68739,3453,"$125,521,000",4487,"$27,974","-$2,342,000",-20.22%,www.bankofhartington.com,,Unknown,Supported
6/30/2023,15904,61112034,"FOUR COUNTY BANK, THE",959 MAIN STREET ,ALLENTOWN,GA,31003,3949,"$79,660,000",3085,"$25,822","-$1,820,000",-16.44%,THEFOURCOUNTYBANK.COM,,Unknown,#N/A
6/30/2023,23090,65202830,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,805 HOSPITAL ROAD ,NEW ROADS,LA,70760,2482,"$252,722,000",7682,"$32,898","-$722,000",-1.17%,www.thefriendlybank.com,,Unknown,#N/A
6/30/2023,3388,111318584,"PERRYTON NATIONAL BANK, THE",825 SOUTH MAIN STREET ,PERRYTON,TX,790703556,3125,"$160,277,000",5122,"$31,292","-$8,716,000",-29.64%,http://www.perrytonbank.com,,Unknown,#N/A
6/30/2023,847,51501765,"PLEASANTS COUNTY BANK, THE",215 WASHINGTON STREET ,SAINT MARYS,WV,26170,4068,"$69,036,000",3001,"$23,004","-$2,163,000",-29.03%,www.pcbsm.com,,Unknown,#N/A
6/30/2023,20268,91014924,FIDELITY BANK,7600 PARKLAWN AVENUE ,EDINA,MN,55435,1690,"$448,034,000",3907,"$114,675","-$2,533,000",-3.32%,www.fidelitybankmn.com,,Unknown,Supported
